C:\mbw\results\A16_235.txt
RUN INFORMATION:
================
Counting protocol no: 16                                  Wed  9-Jan-2019  5:40
Name: COPY_OF_H-3_KORTYZOL_5_MIN
CPM normalization protocol no:  2


*** DETECTORS NOT NORMALIZED


COLUMNS:
========
 	SAMPLE	POS	CCPM1	CCPM1%	
 	Unk_1	A01	21	19.6	
 	Unk_2	A02	20	20.0	
 	Unk_3	A03	19	20.3	
 	Unk_4	A04	18	20.9	
 	Unk_5	A05	19	20.5	
 	Unk_6	A06	18	21.1	
 	Unk_7	B01	20	19.8	
 	Unk_8	B02	21	19.5	
 	Unk_9	B03	22	19.2	
 	Unk_10	B04	20	20.1	
 	Unk_11	B05	18	21.3	
 	Unk_12	B06	20	19.8	
 	Unk_13	C01	19	20.7	
 	Unk_14	C02	20	19.9	
 	Unk_15	C03	17	21.4	
 	Unk_16	C04	23	18.7	
 	Unk_17	C05	18	21.0	
 	Unk_18	C06	22	19.1	
 	Unk_19	D01	21	19.6	
 	Unk_20	D02	20	20.0	
 	Unk_21	D03	17	21.7	
 	Unk_22	D04	18	21.0	
 	Unk_23	D05	20	19.9	
 	Unk_24	D06	17	21.4	
 	Unk_25	A01	23	18.8	
 	Unk_26	A02	19	20.7	
 	Unk_27	A03	22	19.0	
 	Unk_28	A04	17	21.4	
 	Unk_29	A05	18	20.9	
 	Unk_30	A06	18	21.1	
 	Unk_31	B01	22	19.1	
 	Unk_32	B02	24	18.3	
 	Unk_33	B03	18	21.2	
 	Unk_34	B04	21	19.7	
 	Unk_35	B05	18	21.3	
 	Unk_36	B06	18	21.0	
 	Unk_37	C01	20	19.8	
 	Unk_38	C02	19	20.7	
 	Unk_39	C03	16	22.5	
 	Unk_40	C04	19	20.6	
 	Unk_41	C05	17	21.7	
 	Unk_42	C06	19	20.3	
 	Unk_43	D01	21	19.6	
 	Unk_44	D02	15	22.9	
 	Unk_45	D03	18	21.1	
 	Unk_46	D04	20	20.1	
 	Unk_47	D05	19	20.6	
 	Unk_48	D06	20	19.8	
 	Unk_49	A01	21	19.5	
 	Unk_50	A02	21	19.3	
 	Unk_51	A03	19	20.4	
 	Unk_52	A04	22	19.2	
 	Unk_53	A05	18	21.3	
 	Unk_54	A06	21	19.5	
 	Unk_55	B01	17	21.6	
 	Unk_56	B02	16	22.1	
 	Unk_57	B03	22	18.9	
 	Unk_58	B04	18	21.2	
 	Unk_59	B05	19	20.5	
 	Unk_60	B06	15	23.1	
 	Unk_61	C01	21	19.5	
 	Unk_62	C02	18	21.1	
 	Unk_63	C03	21	19.4	
 	Unk_64	C04	18	21.2	
 	Unk_65	C05	18	21.1	
 	Unk_66	C06	22	19.2	
 	Unk_67	D01	16	22.6	
 	Unk_68	D02	21	19.5	
 	Unk_69	D03	22	19.2	
 	Unk_70	D04	18	21.3	
 	Unk_71	D05	19	20.3	
 	Unk_72	D06	14	24.3	
 	Unk_73	A01	21	19.4	
 	Unk_74	A02	18	21.3	
 	Unk_75	A03	23	18.7	
 	Unk_76	A04	21	19.6	
 	Unk_77	A05	22	19.0	
 	Unk_78	A06	18	21.3	
 	Unk_79	B01	18	21.3	
 	Unk_80	B02	21	19.6	
 	Unk_81	B03	17	21.7	
 	Unk_82	B04	17	21.8	
 	Unk_83	B05	19	20.7	
 	Unk_84	B06	20	20.2	
 	Unk_85	C01	21	19.5	
 	Unk_86	C02	20	20.1	
 	Unk_87	C03	16	22.1	
 	Unk_88	C04	18	20.9	
 	Unk_89	C05	20	19.9	
 	Unk_90	C06	22	19.2	
 	Unk_91	D01	21	19.6	
 	Unk_92	D02	23	18.7	
 	Unk_93	D03	22	19.2	
 	Unk_94	D04	19	20.5	
 	Unk_95	D05	23	18.6	
 	Unk_96	D06	20	19.9	
 	Unk_97	A01	1904	2.1	
 	Unk_98	A02	1951	2.0	
 	Unk_99	A03	38	14.4	
 	Unk_100	A04	33	15.7	
 	Unk_101	A05	30	16.3	
 	Unk_102	A06	626	3.6	
 	Unk_103	B01	624	3.6	
 	Unk_104	B02	631	3.6	
 	Unk_105	B03	18	21.0	
 	Unk_106	B04	582	3.7	
 	Unk_107	B05	591	3.7	
 	Unk_108	B06	535	3.9	
 	Unk_109	C01	543	3.8	
 	Unk_110	C02	464	4.2	
 	Unk_111	C03	431	4.3	
 	Unk_112	C04	335	4.9	
 	Unk_113	C05	505	4.0	
 	Unk_114	C06	208	6.2	
 	Unk_115	D01	228	5.9	
 	Unk_116	D02	122	8.1	
 	Unk_117	D03	130	7.8	
 	Unk_118	D04	85	9.7	
 	Unk_119	D05	86	9.6	
 	Unk_120	D06	16	22.5	
 	Unk_121	A01	1958	2.0	
 	Unk_122	A02	2077	2.0	
 	Unk_123	A03	55	12.0	
 	Unk_124	A04	37	14.7	
 	Unk_125	A05	38	14.5	
 	Unk_126	A06	52	12.4	
 	Unk_127	B01	47	13.1	
 	Unk_128	B02	59	11.7	
 	Unk_129	B03	520	3.9	
 	Unk_130	B04	530	3.9	
 	Unk_131	B05	508	4.0	
 	Unk_132	B06	550	3.8	
 	Unk_133	C01	366	4.7	
 	Unk_134	C02	441	4.3	
 	Unk_135	C03	305	5.1	
 	Unk_136	C04	325	5.0	
 	Unk_137	C05	215	6.1	
 	Unk_138	C06	208	6.2	
 	Unk_139	D01	129	7.9	
 	Unk_140	D02	123	8.1	
 	Unk_141	D03	95	9.2	
 	Unk_142	D04	90	9.4	
 	Unk_143	D05	21	19.6	
 	Unk_144	D06	18	21.3	

PLATES:
=======
Plate 1
Cassette information:
Assay:-/Prot:16/Cass:16/Func:-/Cassette no:   1/Shelf: 1/4*6


CCPM1

 	1	2	3	4	5	6	
A	21	20	19	18	19	18	
B	20	21	22	20	18	20	
C	19	20	17	23	18	22	
D	21	20	17	18	20	17	

End of plate 1
Plate 2
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   2/Shelf: 2/4*6


CCPM1

 	1	2	3	4	5	6	
A	23	19	22	17	18	18	
B	22	24	18	21	18	18	
C	20	19	16	19	17	19	
D	21	15	18	20	19	20	

End of plate 2
Plate 3
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   3/Shelf: 3/4*6


CCPM1

 	1	2	3	4	5	6	
A	21	21	19	22	18	21	
B	17	16	22	18	19	15	
C	21	18	21	18	18	22	
D	16	21	22	18	19	14	

End of plate 3
Plate 4
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   4/Shelf: 4/4*6


CCPM1

 	1	2	3	4	5	6	
A	21	18	23	21	22	18	
B	18	21	17	17	19	20	
C	21	20	16	18	20	22	
D	21	23	22	19	23	20	

End of plate 4
Plate 5
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   5/Shelf: 5/4*6


CCPM1

 	1	2	3	4	5	6	
A	1904	1951	38	33	30	626	
B	624	631	18	582	591	535	
C	543	464	431	335	505	208	
D	228	122	130	85	86	16	

End of plate 5
Plate 6
Cassette information:
Assay:-/Prot:-/Cass:-/Func:STOP/Cassette no:   6/Shelf: 6/4*6


CCPM1

 	1	2	3	4	5	6	
A	1958	2077	55	37	38	52	
B	47	59	520	530	508	550	
C	366	441	305	325	215	208	
D	129	123	95	90	21	18	

End of plate 6
Total count rate:    21345.3 CCPM
END
