C:\mbw\results\A16_242.txt
RUN INFORMATION:
================
Counting protocol no: 16                                  Wed 16-Jan-2019  5:47
Name: COPY_OF_H-3_KORTYZOL_5_MIN
CPM normalization protocol no:  2


*** DETECTORS NOT NORMALIZED


COLUMNS:
========
 	SAMPLE	POS	CCPM1	CCPM1%	
 	Unk_1	A01	2224	1.9	
 	Unk_2	A02	2261	1.9	
 	Unk_3	A03	44	13.5	
 	Unk_4	A04	40	14.2	
 	Unk_5	A05	42	13.7	
 	Unk_6	A06	416	4.4	
 	Unk_7	B01	436	4.3	
 	Unk_8	B02	473	4.1	
 	Unk_9	B03	402	4.5	
 	Unk_10	B04	376	4.6	
 	Unk_11	B05	349	4.8	
 	Unk_12	B06	362	4.7	
 	Unk_13	C01	295	5.2	
 	Unk_14	C02	315	5.0	
 	Unk_15	C03	222	6.0	
 	Unk_16	C04	226	5.9	
 	Unk_17	C05	152	7.2	
 	Unk_18	C06	161	7.0	
 	Unk_19	D01	110	8.5	
 	Unk_20	D02	105	8.7	
 	Unk_21	D03	73	10.5	
 	Unk_22	D04	73	10.5	
 	Unk_23	D05	458	4.2	
 	Unk_24	D06	181	6.7	
 	Unk_25	A01	229	5.9	
 	Unk_26	A02	247	5.7	
 	Unk_27	A03	188	6.5	
 	Unk_28	A04	186	6.6	
 	Unk_29	A05	143	7.5	
 	Unk_30	A06	142	7.5	
 	Unk_31	B01	132	7.8	
 	Unk_32	B02	147	7.4	
 	Unk_33	B03	125	8.0	
 	Unk_34	B04	115	8.3	
 	Unk_35	B05	112	8.5	
 	Unk_36	B06	108	8.6	
 	Unk_37	C01	122	8.1	
 	Unk_38	C02	117	8.3	
 	Unk_39	C03	114	8.4	
 	Unk_40	C04	110	8.5	
 	Unk_41	C05	116	8.3	
 	Unk_42	C06	116	8.3	
 	Unk_43	D01	115	8.3	
 	Unk_44	D02	128	7.9	
 	Unk_45	D03	202	6.3	
 	Unk_46	D04	171	6.8	
 	Unk_47	D05	191	6.5	
 	Unk_48	D06	183	6.6	
 	Unk_49	A01	173	6.8	
 	Unk_50	A02	192	6.5	
 	Unk_51	A03	143	7.5	
 	Unk_52	A04	143	7.5	
 	Unk_53	A05	117	8.3	
 	Unk_54	A06	121	8.1	
 	Unk_55	B01	179	6.7	
 	Unk_56	B02	199	6.3	
 	Unk_57	B03	198	6.4	
 	Unk_58	B04	201	6.3	
 	Unk_59	B05	168	6.9	
 	Unk_60	B06	168	6.9	
 	Unk_61	C01	185	6.6	
 	Unk_62	C02	185	6.6	
 	Unk_63	C03	194	6.4	
 	Unk_64	C04	206	6.2	
 	Unk_65	C05	205	6.3	
 	Unk_66	C06	196	6.4	
 	Unk_67	D01	210	6.2	
 	Unk_68	D02	219	6.0	
 	Unk_69	D03	269	5.5	
 	Unk_70	D04	238	5.8	
 	Unk_71	D05	246	5.7	
 	Unk_72	D06	268	5.5	
 	Unk_73	A01	178	6.7	
 	Unk_74	A02	131	7.8	
 	Unk_75	A03	135	7.7	
 	Unk_76	A04	184	6.6	
 	Unk_77	A05	178	6.7	
 	Unk_78	A06	159	7.1	
 	Unk_79	B01	219	6.0	
 	Unk_80	B02	225	6.0	
 	Unk_81	B03	241	5.8	
 	Unk_82	B04	260	5.6	
 	Unk_83	B05	285	5.3	
 	Unk_84	B06	283	5.3	
 	Unk_85	C01	336	4.9	
 	Unk_86	C02	330	4.9	
 	Unk_87	C03	385	4.6	
 	Unk_88	C04	387	4.5	
 	Unk_89	C05	383	4.6	
 	Unk_90	C06	381	4.6	
 	Unk_91	D01	378	4.6	
 	Unk_92	D02	375	4.6	
 	Unk_93	D03	407	4.4	
 	Unk_94	D04	392	4.5	
 	Unk_95	D05	330	4.9	
 	Unk_96	D06	327	4.9	
 	Unk_97	A01	278	5.4	
 	Unk_98	A02	258	5.6	
 	Unk_99	A03	338	4.9	
 	Unk_100	A04	314	5.0	
 	Unk_101	A05	331	4.9	
 	Unk_102	A06	313	5.1	
 	Unk_103	B01	339	4.9	
 	Unk_104	B02	343	4.8	
 	Unk_105	B03	386	4.6	
 	Unk_106	B04	396	4.5	
 	Unk_107	B05	416	4.4	
 	Unk_108	B06	385	4.6	
 	Unk_109	C01	402	4.5	
 	Unk_110	C02	443	4.3	
 	Unk_111	C03	474	4.1	
 	Unk_112	C04	484	4.1	
 	Unk_113	C05	405	4.4	
 	Unk_114	C06	416	4.4	
 	Unk_115	D01	313	5.1	
 	Unk_116	D02	330	4.9	
 	Unk_117	D03	309	5.1	
 	Unk_118	D04	320	5.0	
 	Unk_119	D05	334	4.9	
 	Unk_120	D06	299	5.2	
 	Unk_121	A01	327	4.9	
 	Unk_122	A02	355	4.7	
 	Unk_123	A03	355	4.7	
 	Unk_124	A04	361	4.7	
 	Unk_125	A05	181	6.7	
 	Unk_126	A06	168	6.9	
 	Unk_127	B01	224	6.0	
 	Unk_128	B02	201	6.3	
 	Unk_129	B03	258	5.6	
 	Unk_130	B04	265	5.5	
 	Unk_131	B05	307	5.1	
 	Unk_132	B06	298	5.2	
 	Unk_133	C01	337	4.9	
 	Unk_134	C02	338	4.9	
 	Unk_135	C03	355	4.7	
 	Unk_136	C04	348	4.8	
 	Unk_137	C05	233	5.9	
 	Unk_138	C06	240	5.8	
 	Unk_139	D01	269	5.5	
 	Unk_140	D02	273	5.4	
 	Unk_141	D03	209	6.2	
 	Unk_142	D04	230	5.9	
 	Unk_143	D05	237	5.8	
 	Unk_144	D06	259	5.6	
 	Unk_145	A01	368	4.7	
 	Unk_146	A02	355	4.7	
 	Unk_147	A03	367	4.7	
 	Unk_148	A04	410	4.4	
 	Unk_149	A05	402	4.5	
 	Unk_150	A06	404	4.4	
 	Unk_151	B01	432	4.3	
 	Unk_152	B02	429	4.3	
 	Unk_153	B03	465	4.1	
 	Unk_154	B04	443	4.3	
 	Unk_155	B05	461	4.2	
 	Unk_156	B06	461	4.2	
 	Unk_157	C01	510	4.0	
 	Unk_158	C02	479	4.1	
 	Unk_159	C03	331	4.9	
 	Unk_160	C04	329	4.9	
 	Unk_161	C05	379	4.6	
 	Unk_162	C06	378	4.6	
 	Unk_163	D01	335	4.9	
 	Unk_164	D02	344	4.8	
 	Unk_165	D03	398	4.5	
 	Unk_166	D04	418	4.4	
 	Unk_167	D05	468	4.1	
 	Unk_168	D06	476	4.1	
 	Unk_169	A01	432	4.3	
 	Unk_170	A02	468	4.1	
 	Unk_171	A03	466	4.1	
 	Unk_172	A04	451	4.2	
 	Unk_173	A05	461	4.2	
 	Unk_174	A06	451	4.2	
 	Unk_175	B01	257	5.6	
 	Unk_176	B02	247	5.7	
 	Unk_177	B03	309	5.1	
 	Unk_178	B04	293	5.2	
 	Unk_179	B05	304	5.1	
 	Unk_180	B06	232	5.9	
 	Unk_181	C01	379	4.6	
 	Unk_182	C02	335	4.9	
 	Unk_183	C03	363	4.7	
 	Unk_184	C04	249	5.7	
 	Unk_185	C05	252	5.6	
 	Unk_186	C06	238	5.8	
 	Unk_187	D01	229	5.9	
 	Unk_188	D02	249	5.7	
 	Unk_189	D03	306	5.1	
 	Unk_190	D04	292	5.2	
 	Unk_191	D05	327	4.9	
 	Unk_192	D06	337	4.9	
 	Unk_193	A01	352	4.8	
 	Unk_194	A02	367	4.7	
 	Unk_195	A03	363	4.7	
 	Unk_196	A04	354	4.8	
 	Unk_197	A05	291	5.2	
 	Unk_198	A06	281	5.3	
 	Unk_199	B01	275	5.4	
 	Unk_200	B02	264	5.5	
 	Unk_201	B03	248	5.7	
 	Unk_202	B04	248	5.7	
 	Unk_203	B05	253	5.6	
 	Unk_204	B06	265	5.5	
 	Unk_205	C01	260	5.6	
 	Unk_206	C02	266	5.5	
 	Unk_207	C03	289	5.3	
 	Unk_208	C04	293	5.2	
 	Unk_209	C05	312	5.1	
 	Unk_210	C06	309	5.1	
 	Unk_211	D01	321	5.0	
 	Unk_212	D02	308	5.1	
 	Unk_213	D03	308	5.1	
 	Unk_214	D04	305	5.1	
 	Unk_215	D05	250	5.7	
 	Unk_216	D06	269	5.5	
 	Unk_217	A01	241	5.8	
 	Unk_218	A02	244	5.7	
 	Unk_219	A03	252	5.6	
 	Unk_220	A04	249	5.7	
 	Unk_221	A05	56	11.9	
 	Unk_222	A06	57	11.8	
 	Unk_223	B01	285	5.3	
 	Unk_224	B02	255	5.6	
 	Unk_225	B03	192	6.5	
 	Unk_226	B04	171	6.8	
 	Unk_227	B05	264	5.5	
 	Unk_228	B06	260	5.5	
 	Unk_229	C01	308	5.1	
 	Unk_230	C02	317	5.0	
 	Unk_231	C03	349	4.8	
 	Unk_232	C04	338	4.9	
 	Unk_233	C05	355	4.7	
 	Unk_234	C06	370	4.7	
 	Unk_235	D01	253	5.6	
 	Unk_236	D02	261	5.5	
 	Unk_237	D03	256	5.6	
 	Unk_238	D04	230	5.9	
 	Unk_239	D05	233	5.9	
 	Unk_240	D06	220	6.0	
 	Unk_241	A01	219	6.0	
 	Unk_242	A02	237	5.8	
 	Unk_243	A03	225	6.0	
 	Unk_244	A04	233	5.9	
 	Unk_245	A05	211	6.2	
 	Unk_246	A06	201	6.3	
 	Unk_247	B01	214	6.1	
 	Unk_248	B02	220	6.0	
 	Unk_249	B03	240	5.8	
 	Unk_250	B04	218	6.1	
 	Unk_251	B05	140	7.5	
 	Unk_252	B06	180	6.7	
 	Unk_253	C01	249	5.7	
 	Unk_254	C02	235	5.8	
 	Unk_255	C03	239	5.8	
 	Unk_256	C04	244	5.7	
 	Unk_257	C05	177	6.7	
 	Unk_258	C06	46	13.2	
 	Unk_259	D01	217	6.1	
 	Unk_260	D02	239	5.8	
 	Unk_261	D03	215	6.1	
 	Unk_262	D04	238	5.8	
 	Unk_263	D05	217	6.1	
 	Unk_264	D06	221	6.0	
 	Unk_265	A01	193	6.4	
 	Unk_266	A02	205	6.2	
 	Unk_267	A03	201	6.3	
 	Unk_268	A04	203	6.3	
 	Unk_269	A05	187	6.5	
 	Unk_270	A06	195	6.4	
 	Unk_271	B01	215	6.1	
 	Unk_272	B02	220	6.0	
 	Unk_273	B03	230	5.9	
 	Unk_274	B04	147	7.4	
 	Unk_275	B05	156	7.2	
 	Unk_276	B06	193	6.4	
 	Unk_277	C01	223	6.0	
 	Unk_278	C02	201	6.3	
 	Unk_279	C03	278	5.4	
 	Unk_280	C04	252	5.6	
 	Unk_281	C05	315	5.0	
 	Unk_282	C06	301	5.2	
 	Unk_283	D01	324	5.0	
 	Unk_284	D02	334	4.9	
 	Unk_285	D03	258	5.6	
 	Unk_286	D04	240	5.8	
 	Unk_287	D05	202	6.3	
 	Unk_288	D06	209	6.2	
 	Unk_289	A01	166	6.9	
 	Unk_290	A02	184	6.6	
 	Unk_291	A03	147	7.4	
 	Unk_292	A04	150	7.3	
 	Unk_293	A05	145	7.4	
 	Unk_294	A06	143	7.5	
 	Unk_295	B01	165	7.0	
 	Unk_296	B02	164	7.0	
 	Unk_297	B03	174	6.8	
 	Unk_298	B04	180	6.7	
 	Unk_299	B05	238	5.8	
 	Unk_300	B06	244	5.7	
 	Unk_301	C01	299	5.2	
 	Unk_302	C02	311	5.1	
 	Unk_303	C03	334	4.9	
 	Unk_304	C04	362	4.7	
 	Unk_305	C05	347	4.8	
 	Unk_306	C06	340	4.9	
 	Unk_307	D01	275	5.4	
 	Unk_308	D02	283	5.3	
 	Unk_309	D03	240	5.8	
 	Unk_310	D04	241	5.8	
 	Unk_311	D05	229	5.9	
 	Unk_312	D06	219	6.0	
 	Unk_313	A01	173	6.8	
 	Unk_314	A02	176	6.7	
 	Unk_315	A03	162	7.0	
 	Unk_316	A04	156	7.2	
 	Unk_317	A05	152	7.3	
 	Unk_318	A06	144	7.5	
 	Unk_319	B01	158	7.1	
 	Unk_320	B02	147	7.4	
 	Unk_321	B03	205	6.2	
 	Unk_322	B04	228	5.9	
 	Unk_323	B05	250	5.7	
 	Unk_324	B06	270	5.4	
 	Unk_325	C01	327	4.9	
 	Unk_326	C02	129	7.9	
 	Unk_327	C03	330	4.9	
 	Unk_328	C04	324	5.0	
 	Unk_329	C05	341	4.8	
 	Unk_330	C06	353	4.8	
 	Unk_331	D01	292	5.2	
 	Unk_332	D02	281	5.3	
 	Unk_333	D03	282	5.3	
 	Unk_334	D04	270	5.4	
 	Unk_335	D05	264	5.5	
 	Unk_336	D06	256	5.6	
 	Unk_337	A01	289	5.3	
 	Unk_338	A02	277	5.4	
 	Unk_339	A03	306	5.1	
 	Unk_340	A04	296	5.2	
 	Unk_341	A05	257	5.6	
 	Unk_342	A06	266	5.5	
 	Unk_343	B01	243	5.7	
 	Unk_344	B02	222	6.0	
 	Unk_345	B03	233	5.9	
 	Unk_346	B04	221	6.0	
 	Unk_347	B05	224	6.0	
 	Unk_348	B06	212	6.1	
 	Unk_349	C01	215	6.1	
 	Unk_350	C02	216	6.1	
 	Unk_351	C03	198	6.4	
 	Unk_352	C04	179	6.7	
 	Unk_353	C05	177	6.7	
 	Unk_354	C06	173	6.8	
 	Unk_355	D01	198	6.4	
 	Unk_356	D02	181	6.7	
 	Unk_357	D03	190	6.5	
 	Unk_358	D04	178	6.7	
 	Unk_359	D05	199	6.3	
 	Unk_360	D06	205	6.2	
 	Unk_361	A01	225	6.0	
 	Unk_362	A02	216	6.1	
 	Unk_363	A03	176	6.7	
 	Unk_364	A04	184	6.6	
 	Unk_365	A05	186	6.6	
 	Unk_366	A06	200	6.3	
 	Unk_367	B01	225	6.0	
 	Unk_368	B02	185	6.6	
 	Unk_369	B03	217	6.1	
 	Unk_370	B04	211	6.2	
 	Unk_371	B05	196	6.4	
 	Unk_372	B06	194	6.4	
 	Unk_373	C01	205	6.2	
 	Unk_374	C02	210	6.2	
 	Unk_375	C03	389	4.5	
 	Unk_376	C04	401	4.5	
 	Unk_377	C05	399	4.5	
 	Unk_378	C06	400	4.5	
 	Unk_379	D01	19	20.4	
 	Unk_380	D02	24	18.3	
 	Unk_381	D03	20	19.8	
 	Unk_382	D04	22	19.0	
 	Unk_383	D05	19	20.4	
 	Unk_384	D06	17	21.6	

PLATES:
=======
Plate 1
Cassette information:
Assay:-/Prot:16/Cass:16/Func:-/Cassette no:   1/Shelf: 1/4*6


CCPM1

 	1	2	3	4	5	6	
A	2224	2261	44	40	42	416	
B	436	473	402	376	349	362	
C	295	315	222	226	152	161	
D	110	105	73	73	458	181	

End of plate 1
Plate 2
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   2/Shelf: 2/4*6


CCPM1

 	1	2	3	4	5	6	
A	229	247	188	186	143	142	
B	132	147	125	115	112	108	
C	122	117	114	110	116	116	
D	115	128	202	171	191	183	

End of plate 2
Plate 3
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   3/Shelf: 3/4*6


CCPM1

 	1	2	3	4	5	6	
A	173	192	143	143	117	121	
B	179	199	198	201	168	168	
C	185	185	194	206	205	196	
D	210	219	269	238	246	268	

End of plate 3
Plate 4
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   4/Shelf: 4/4*6


CCPM1

 	1	2	3	4	5	6	
A	178	131	135	184	178	159	
B	219	225	241	260	285	283	
C	336	330	385	387	383	381	
D	378	375	407	392	330	327	

End of plate 4
Plate 5
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   5/Shelf: 5/4*6


CCPM1

 	1	2	3	4	5	6	
A	278	258	338	314	331	313	
B	339	343	386	396	416	385	
C	402	443	474	484	405	416	
D	313	330	309	320	334	299	

End of plate 5
Plate 6
Cassette information:
