C:\mbw\results\A16_244.txt
RUN INFORMATION:
================
Counting protocol no: 16                                  Fri 18-Jan-2019  5:22
Name: COPY_OF_H-3_KORTYZOL_5_MIN
CPM normalization protocol no:  2


*** DETECTORS NOT NORMALIZED


COLUMNS:
========
 	SAMPLE	POS	CCPM1	CCPM1%	
 	Unk_1	A01	1976	2.0	
 	Unk_2	A02	1982	2.0	
 	Unk_3	A03	49	12.8	
 	Unk_4	A04	32	15.7	
 	Unk_5	A05	36	14.9	
 	Unk_6	A06	458	4.2	
 	Unk_7	B01	459	4.2	
 	Unk_8	B02	447	4.2	
 	Unk_9	B03	412	4.4	
 	Unk_10	B04	390	4.5	
 	Unk_11	B05	378	4.6	
 	Unk_12	B06	352	4.8	
 	Unk_13	C01	322	5.0	
 	Unk_14	C02	316	5.0	
 	Unk_15	C03	225	6.0	
 	Unk_16	C04	249	5.7	
 	Unk_17	C05	165	7.0	
 	Unk_18	C06	174	6.8	
 	Unk_19	D01	102	8.8	
 	Unk_20	D02	116	8.3	
 	Unk_21	D03	74	10.4	
 	Unk_22	D04	65	11.1	
 	Unk_23	D05	512	4.0	
 	Unk_24	D06	536	3.9	
 	Unk_25	A01	219	6.0	
 	Unk_26	A02	224	6.0	
 	Unk_27	A03	164	7.0	
 	Unk_28	A04	191	6.5	
 	Unk_29	A05	226	6.0	
 	Unk_30	A06	230	5.9	
 	Unk_31	B01	293	5.2	
 	Unk_32	B02	279	5.4	
 	Unk_33	B03	325	5.0	
 	Unk_34	B04	347	4.8	
 	Unk_35	B05	386	4.6	
 	Unk_36	B06	388	4.5	
 	Unk_37	C01	372	4.6	
 	Unk_38	C02	379	4.6	
 	Unk_39	C03	293	5.2	
 	Unk_40	C04	330	4.9	
 	Unk_41	C05	252	5.6	
 	Unk_42	C06	237	5.8	
 	Unk_43	D01	225	6.0	
 	Unk_44	D02	247	5.7	
 	Unk_45	D03	211	6.2	
 	Unk_46	D04	220	6.0	
 	Unk_47	D05	313	5.1	
 	Unk_48	D06	295	5.2	
 	Unk_49	A01	338	4.9	
 	Unk_50	A02	341	4.8	
 	Unk_51	A03	335	4.9	
 	Unk_52	A04	362	4.7	
 	Unk_53	A05	368	4.7	
 	Unk_54	A06	392	4.5	
 	Unk_55	B01	402	4.5	
 	Unk_56	B02	402	4.5	
 	Unk_57	B03	237	5.8	
 	Unk_58	B04	220	6.0	
 	Unk_59	B05	264	5.5	
 	Unk_60	B06	295	5.2	
 	Unk_61	C01	359	4.7	
 	Unk_62	C02	352	4.8	
 	Unk_63	C03	400	4.5	
 	Unk_64	C04	403	4.5	
 	Unk_65	C05	411	4.4	
 	Unk_66	C06	437	4.3	
 	Unk_67	D01	477	4.1	
 	Unk_68	D02	469	4.1	
 	Unk_69	D03	454	4.2	
 	Unk_70	D04	474	4.1	
 	Unk_71	D05	483	4.1	
 	Unk_72	D06	450	4.2	
 	Unk_73	A01	412	4.4	
 	Unk_74	A02	440	4.3	
 	Unk_75	A03	262	5.5	
 	Unk_76	A04	201	6.3	
 	Unk_77	A05	250	5.7	
 	Unk_78	A06	242	5.8	
 	Unk_79	B01	227	5.9	
 	Unk_80	B02	270	5.4	
 	Unk_81	B03	298	5.2	
 	Unk_82	B04	299	5.2	
 	Unk_83	B05	341	4.8	
 	Unk_84	B06	300	5.2	
 	Unk_85	C01	392	4.5	
 	Unk_86	C02	410	4.4	
 	Unk_87	C03	442	4.3	
 	Unk_88	C04	413	4.4	
 	Unk_89	C05	453	4.2	
 	Unk_90	C06	449	4.2	
 	Unk_91	D01	440	4.3	
 	Unk_92	D02	477	4.1	
 	Unk_93	D03	465	4.2	
 	Unk_94	D04	469	4.1	
 	Unk_95	D05	417	4.4	
 	Unk_96	D06	373	4.6	
 	Unk_97	A01	297	5.2	
 	Unk_98	A02	286	5.3	
 	Unk_99	A03	341	4.8	
 	Unk_100	A04	342	4.8	
 	Unk_101	A05	375	4.6	
 	Unk_102	A06	437	4.3	
 	Unk_103	B01	392	4.5	
 	Unk_104	B02	399	4.5	
 	Unk_105	B03	391	4.5	
 	Unk_106	B04	421	4.4	
 	Unk_107	B05	452	4.2	
 	Unk_108	B06	421	4.4	
 	Unk_109	C01	468	4.1	
 	Unk_110	C02	494	4.0	
 	Unk_111	C03	473	4.1	
 	Unk_112	C04	470	4.1	
 	Unk_113	C05	395	4.5	
 	Unk_114	C06	404	4.4	
 	Unk_115	D01	358	4.7	
 	Unk_116	D02	355	4.7	
 	Unk_117	D03	352	4.8	
 	Unk_118	D04	373	4.6	
 	Unk_119	D05	431	4.3	
 	Unk_120	D06	387	4.5	
 	Unk_121	A01	441	4.3	
 	Unk_122	A02	456	4.2	
 	Unk_123	A03	417	4.4	
 	Unk_124	A04	460	4.2	
 	Unk_125	A05	186	6.6	
 	Unk_126	A06	176	6.7	
 	Unk_127	B01	157	7.1	
 	Unk_128	B02	158	7.1	
 	Unk_129	B03	161	7.0	
 	Unk_130	B04	138	7.6	
 	Unk_131	B05	141	7.5	
 	Unk_132	B06	150	7.3	
 	Unk_133	C01	194	6.4	
 	Unk_134	C02	177	6.7	
 	Unk_135	C03	17	21.4	
 	Unk_136	C04	20	20.0	
 	Unk_137	C05	235	5.8	
 	Unk_138	C06	243	5.7	
 	Unk_139	D01	309	5.1	
 	Unk_140	D02	290	5.2	
 	Unk_141	D03	335	4.9	
 	Unk_142	D04	341	4.8	
 	Unk_143	D05	396	4.5	
 	Unk_144	D06	371	4.6	
 	Unk_145	A01	400	4.5	
 	Unk_146	A02	407	4.4	
 	Unk_147	A03	412	4.4	
 	Unk_148	A04	423	4.3	
 	Unk_149	A05	375	4.6	
 	Unk_150	A06	403	4.5	
 	Unk_151	B01	372	4.6	
 	Unk_152	B02	365	4.7	
 	Unk_153	B03	412	4.4	
 	Unk_154	B04	358	4.7	
 	Unk_155	B05	389	4.5	
 	Unk_156	B06	432	4.3	
 	Unk_157	C01	442	4.3	
 	Unk_158	C02	446	4.2	
 	Unk_159	C03	472	4.1	
 	Unk_160	C04	435	4.3	
 	Unk_161	C05	473	4.1	
 	Unk_162	C06	456	4.2	
 	Unk_163	D01	441	4.3	
 	Unk_164	D02	440	4.3	
 	Unk_165	D03	438	4.3	
 	Unk_166	D04	472	4.1	
 	Unk_167	D05	419	4.4	
 	Unk_168	D06	444	4.2	
 	Unk_169	A01	382	4.6	
 	Unk_170	A02	415	4.4	
 	Unk_171	A03	433	4.3	
 	Unk_172	A04	414	4.4	
 	Unk_173	A05	455	4.2	
 	Unk_174	A06	426	4.3	
 	Unk_175	B01	482	4.1	
 	Unk_176	B02	488	4.0	
 	Unk_177	B03	248	5.7	
 	Unk_178	B04	245	5.7	
 	Unk_179	B05	235	5.8	
 	Unk_180	B06	246	5.7	
 	Unk_181	C01	187	6.5	
 	Unk_182	C02	169	6.9	
 	Unk_183	C03	199	6.3	
 	Unk_184	C04	182	6.6	
 	Unk_185	C05	228	5.9	
 	Unk_186	C06	242	5.8	
 	Unk_187	D01	266	5.5	
 	Unk_188	D02	293	5.2	
 	Unk_189	D03	341	4.8	
 	Unk_190	D04	358	4.7	
 	Unk_191	D05	330	4.9	
 	Unk_192	D06	296	5.2	
 	Unk_193	A01	245	5.7	
 	Unk_194	A02	259	5.6	
 	Unk_195	A03	236	5.8	
 	Unk_196	A04	262	5.5	
 	Unk_197	A05	287	5.3	
 	Unk_198	A06	284	5.3	
 	Unk_199	B01	252	5.6	
 	Unk_200	B02	265	5.5	
 	Unk_201	B03	237	5.8	
 	Unk_202	B04	252	5.6	
 	Unk_203	B05	291	5.2	
 	Unk_204	B06	296	5.2	
 	Unk_205	C01	233	5.9	
 	Unk_206	C02	243	5.7	
 	Unk_207	C03	229	5.9	
 	Unk_208	C04	249	5.7	
 	Unk_209	C05	259	5.6	
 	Unk_210	C06	234	5.8	
 	Unk_211	D01	240	5.8	
 	Unk_212	D02	244	5.7	
 	Unk_213	D03	279	5.4	
 	Unk_214	D04	294	5.2	
 	Unk_215	D05	312	5.1	
 	Unk_216	D06	310	5.1	
 	Unk_217	A01	326	5.0	
 	Unk_218	A02	354	4.8	
 	Unk_219	A03	321	5.0	
 	Unk_220	A04	358	4.7	
 	Unk_221	A05	229	5.9	
 	Unk_222	A06	225	6.0	
 	Unk_223	B01	215	6.1	
 	Unk_224	B02	220	6.0	
 	Unk_225	B03	262	5.5	
 	Unk_226	B04	271	5.4	
 	Unk_227	B05	221	6.0	
 	Unk_228	B06	236	5.8	
 	Unk_229	C01	220	6.0	
 	Unk_230	C02	226	5.9	
 	Unk_231	C03	240	5.8	
 	Unk_232	C04	258	5.6	
 	Unk_233	C05	308	5.1	
 	Unk_234	C06	297	5.2	
 	Unk_235	D01	307	5.1	
 	Unk_236	D02	299	5.2	
 	Unk_237	D03	259	5.6	
 	Unk_238	D04	255	5.6	
 	Unk_239	D05	222	6.0	
 	Unk_240	D06	212	6.1	
 	Unk_241	A01	192	6.5	
 	Unk_242	A02	196	6.4	
 	Unk_243	A03	199	6.3	
 	Unk_244	A04	166	6.9	
 	Unk_245	A05	196	6.4	
 	Unk_246	A06	182	6.6	
 	Unk_247	B01	305	5.1	
 	Unk_248	B02	307	5.1	
 	Unk_249	B03	341	4.8	
 	Unk_250	B04	340	4.9	
 	Unk_251	B05	361	4.7	
 	Unk_252	B06	370	4.7	
 	Unk_253	C01	246	5.7	
 	Unk_254	C02	246	5.7	
 	Unk_255	C03	204	6.3	
 	Unk_256	C04	211	6.2	
