C:\mbw\results\A16_272.txt
RUN INFORMATION:
================
Counting protocol no: 16                                  Tue  5-Mar-2019  6:04
Name: COPY_OF_H-3_KORTYZOL_5_MIN
CPM normalization protocol no:  2


*** DETECTORS NOT NORMALIZED


COLUMNS:
========
 	SAMPLE	POS	CCPM1	CCPM1%	
 	Unk_1	A01	1621	2.2	
 	Unk_2	A02	1652	2.2	
 	Unk_3	A03	34	15.3	
 	Unk_4	A04	31	16.1	
 	Unk_5	A05	32	15.9	
 	Unk_6	A06	63	11.3	
 	Unk_7	B01	37	14.7	
 	Unk_8	B02	40	14.2	
 	Unk_9	B03	398	4.5	
 	Unk_10	B04	384	4.6	
 	Unk_11	B05	349	4.8	
 	Unk_12	B06	339	4.9	
 	Unk_13	C01	303	5.1	
 	Unk_14	C02	303	5.1	
 	Unk_15	C03	232	5.9	
 	Unk_16	C04	223	6.0	
 	Unk_17	C05	166	7.0	
 	Unk_18	C06	170	6.9	
 	Unk_19	D01	105	8.7	
 	Unk_20	D02	105	8.7	
 	Unk_21	D03	80	10.0	
 	Unk_22	D04	34	15.4	
 	Unk_23	D05	18	21.3	
 	Unk_24	D06	16	22.6	
 	Unk_25	A01	328	4.9	
 	Unk_26	A02	354	4.8	
 	Unk_27	A03	272	5.4	
 	Unk_28	A04	257	5.6	
 	Unk_29	A05	258	5.6	
 	Unk_30	A06	230	5.9	
 	Unk_31	B01	241	5.8	
 	Unk_32	B02	240	5.8	
 	Unk_33	B03	318	5.0	
 	Unk_34	B04	294	5.2	
 	Unk_35	B05	315	5.0	
 	Unk_36	B06	294	5.2	
 	Unk_37	C01	229	5.9	
 	Unk_38	C02	271	5.4	
 	Unk_39	C03	238	5.8	
 	Unk_40	C04	242	5.7	
 	Unk_41	C05	195	6.4	
 	Unk_42	C06	188	6.5	
 	Unk_43	D01	199	6.3	
 	Unk_44	D02	200	6.3	
 	Unk_45	D03	245	5.7	
 	Unk_46	D04	229	5.9	
 	Unk_47	D05	245	5.7	
 	Unk_48	D06	234	5.8	
 	Unk_49	A01	208	6.2	
 	Unk_50	A02	210	6.2	
 	Unk_51	A03	204	6.3	
 	Unk_52	A04	219	6.0	
 	Unk_53	A05	189	6.5	
 	Unk_54	A06	194	6.4	
 	Unk_55	B01	312	5.1	
 	Unk_56	B02	287	5.3	
 	Unk_57	B03	325	5.0	
 	Unk_58	B04	325	5.0	
 	Unk_59	B05	393	4.5	
 	Unk_60	B06	344	4.8	
 	Unk_61	C01	371	4.6	
 	Unk_62	C02	381	4.6	
 	Unk_63	C03	235	5.8	
 	Unk_64	C04	224	6.0	
 	Unk_65	C05	215	6.1	
 	Unk_66	C06	204	6.3	
 	Unk_67	D01	184	6.6	
 	Unk_68	D02	181	6.7	
 	Unk_69	D03	211	6.2	
 	Unk_70	D04	178	6.7	
 	Unk_71	D05	242	5.7	
 	Unk_72	D06	250	5.7	
 	Unk_73	A01	263	5.5	
 	Unk_74	A02	241	5.8	
 	Unk_75	A03	319	5.0	
 	Unk_76	A04	338	4.9	
 	Unk_77	A05	288	5.3	
 	Unk_78	A06	316	5.0	
 	Unk_79	B01	281	5.3	
 	Unk_80	B02	322	5.0	
 	Unk_81	B03	348	4.8	
 	Unk_82	B04	331	4.9	
 	Unk_83	B05	365	4.7	
 	Unk_84	B06	444	4.2	
 	Unk_85	C01	484	4.1	
 	Unk_86	C02	507	4.0	
 	Unk_87	C03	266	5.5	
 	Unk_88	C04	247	5.7	
 	Unk_89	C05	336	4.9	
 	Unk_90	C06	353	4.8	
 	Unk_91	D01	383	4.6	
 	Unk_92	D02	399	4.5	
 	Unk_93	D03	367	4.7	
 	Unk_94	D04	364	4.7	
 	Unk_95	D05	432	4.3	
 	Unk_96	D06	421	4.4	
 	Unk_97	A01	356	4.7	
 	Unk_98	A02	375	4.6	
 	Unk_99	A03	368	4.7	
 	Unk_100	A04	357	4.7	
 	Unk_101	A05	321	5.0	
 	Unk_102	A06	300	5.2	
 	Unk_103	B01	263	5.5	
 	Unk_104	B02	329	4.9	
 	Unk_105	B03	249	5.7	
 	Unk_106	B04	245	5.7	
 	Unk_107	B05	276	5.4	
 	Unk_108	B06	281	5.3	
 	Unk_109	C01	364	4.7	
 	Unk_110	C02	389	4.5	
 	Unk_111	C03	401	4.5	
 	Unk_112	C04	395	4.5	
 	Unk_113	C05	316	5.0	
 	Unk_114	C06	304	5.1	
 	Unk_115	D01	312	5.1	
 	Unk_116	D02	330	4.9	
 	Unk_117	D03	348	4.8	
 	Unk_118	D04	381	4.6	
 	Unk_119	D05	436	4.3	
 	Unk_120	D06	413	4.4	
 	Unk_121	A01	389	4.5	
 	Unk_122	A02	362	4.7	
 	Unk_123	A03	352	4.8	
 	Unk_124	A04	352	4.8	
 	Unk_125	A05	335	4.9	
 	Unk_126	A06	321	5.0	
 	Unk_127	B01	401	4.5	
 	Unk_128	B02	390	4.5	
 	Unk_129	B03	384	4.6	
 	Unk_130	B04	387	4.5	
 	Unk_131	B05	363	4.7	
 	Unk_132	B06	369	4.7	
 	Unk_133	C01	369	4.7	
 	Unk_134	C02	371	4.6	
 	Unk_135	C03	341	4.8	
 	Unk_136	C04	385	4.6	
 	Unk_137	C05	371	4.6	
 	Unk_138	C06	377	4.6	
 	Unk_139	D01	461	4.2	
 	Unk_140	D02	507	4.0	
 	Unk_141	D03	371	4.6	
 	Unk_142	D04	355	4.7	
 	Unk_143	D05	285	5.3	
 	Unk_144	D06	268	5.5	
 	Unk_145	A01	237	5.8	
 	Unk_146	A02	226	6.0	
 	Unk_147	A03	236	5.8	
 	Unk_148	A04	265	5.5	
 	Unk_149	A05	258	5.6	
 	Unk_150	A06	234	5.8	
 	Unk_151	B01	242	5.7	
 	Unk_152	B02	235	5.8	
 	Unk_153	B03	231	5.9	
 	Unk_154	B04	224	6.0	
 	Unk_155	B05	236	5.8	
 	Unk_156	B06	211	6.2	
 	Unk_157	C01	231	5.9	
 	Unk_158	C02	253	5.6	
 	Unk_159	C03	290	5.2	
 	Unk_160	C04	294	5.2	
 	Unk_161	C05	370	4.6	
 	Unk_162	C06	335	4.9	
 	Unk_163	D01	351	4.8	
 	Unk_164	D02	317	5.0	
 	Unk_165	D03	375	4.6	
 	Unk_166	D04	355	4.7	
 	Unk_167	D05	345	4.8	
 	Unk_168	D06	279	5.4	
 	Unk_169	A01	238	5.8	
 	Unk_170	A02	263	5.5	
 	Unk_171	A03	226	5.9	
 	Unk_172	A04	262	5.5	
 	Unk_173	A05	282	5.3	
 	Unk_174	A06	260	5.5	
 	Unk_175	B01	328	4.9	
 	Unk_176	B02	330	4.9	
 	Unk_177	B03	324	5.0	
 	Unk_178	B04	335	4.9	
 	Unk_179	B05	356	4.7	
 	Unk_180	B06	356	4.7	
 	Unk_181	C01	416	4.4	
 	Unk_182	C02	451	4.2	
 	Unk_183	C03	403	4.5	
 	Unk_184	C04	405	4.4	
 	Unk_185	C05	377	4.6	
 	Unk_186	C06	391	4.5	
 	Unk_187	D01	361	4.7	
 	Unk_188	D02	396	4.5	
 	Unk_189	D03	372	4.6	
 	Unk_190	D04	365	4.7	
 	Unk_191	D05	370	4.7	
 	Unk_192	D06	369	4.7	
 	Unk_193	A01	380	4.6	
 	Unk_194	A02	375	4.6	
 	Unk_195	A03	455	4.2	
 	Unk_196	A04	394	4.5	
 	Unk_197	A05	289	5.3	
 	Unk_198	A06	264	5.5	
 	Unk_199	B01	300	5.2	
 	Unk_200	B02	308	5.1	
 	Unk_201	B03	364	4.7	
 	Unk_202	B04	373	4.6	
 	Unk_203	B05	439	4.3	
 	Unk_204	B06	402	4.5	
 	Unk_205	C01	568	3.8	
 	Unk_206	C02	543	3.8	
 	Unk_207	C03	609	3.6	
 	Unk_208	C04	631	3.6	
 	Unk_209	C05	585	3.7	
 	Unk_210	C06	578	3.7	
 	Unk_211	D01	492	4.0	
 	Unk_212	D02	522	3.9	
 	Unk_213	D03	516	3.9	
 	Unk_214	D04	536	3.9	
 	Unk_215	D05	556	3.8	
 	Unk_216	D06	504	4.0	
 	Unk_217	A01	461	4.2	
 	Unk_218	A02	434	4.3	
 	Unk_219	A03	463	4.2	
 	Unk_220	A04	778	3.2	
 	Unk_221	A05	452	4.2	
 	Unk_222	A06	446	4.2	
 	Unk_223	B01	334	4.9	
 	Unk_224	B02	354	4.8	
 	Unk_225	B03	325	5.0	
 	Unk_226	B04	370	4.7	
 	Unk_227	B05	332	4.9	
 	Unk_228	B06	364	4.7	
 	Unk_229	C01	385	4.6	
 	Unk_230	C02	347	4.8	
 	Unk_231	C03	396	4.5	
