C:\mbw\results\A16_278.txt
RUN INFORMATION:
================
Counting protocol no: 16                                  Fri  8-Mar-2019  5:28
Name: COPY_OF_H-3_KORTYZOL_5_MIN
CPM normalization protocol no:  2


*** DETECTORS NOT NORMALIZED


COLUMNS:
========
 	SAMPLE	POS	CCPM1	CCPM1%	
 	Unk_1	A01	1939	2.0	
 	Unk_2	A02	1893	2.1	
 	Unk_3	A03	44	13.5	
 	Unk_4	A04	46	13.2	
 	Unk_5	A05	40	14.2	
 	Unk_6	A06	511	4.0	
 	Unk_7	B01	491	4.0	
 	Unk_8	B02	523	3.9	
 	Unk_9	B03	433	4.3	
 	Unk_10	B04	644	3.5	
 	Unk_11	B05	331	4.9	
 	Unk_12	B06	405	4.4	
 	Unk_13	C01	302	5.1	
 	Unk_14	C02	340	4.9	
 	Unk_15	C03	258	5.6	
 	Unk_16	C04	259	5.6	
 	Unk_17	C05	172	6.8	
 	Unk_18	C06	169	6.9	
 	Unk_19	D01	99	9.0	
 	Unk_20	D02	99	9.0	
 	Unk_21	D03	89	9.5	
 	Unk_22	D04	79	10.1	
 	Unk_23	D05	15	22.9	
 	Unk_24	D06	18	21.3	
 	Unk_25	A01	563	3.8	
 	Unk_26	A02	510	4.0	
 	Unk_27	A03	389	4.5	
 	Unk_28	A04	419	4.4	
 	Unk_29	A05	354	4.8	
 	Unk_30	A06	364	4.7	
 	Unk_31	B01	400	4.5	
 	Unk_32	B02	397	4.5	
 	Unk_33	B03	409	4.4	
 	Unk_34	B04	391	4.5	
 	Unk_35	B05	314	5.0	
 	Unk_36	B06	305	5.1	
 	Unk_37	C01	300	5.2	
 	Unk_38	C02	270	5.4	
 	Unk_39	C03	360	4.7	
 	Unk_40	C04	328	4.9	
 	Unk_41	C05	422	4.4	
 	Unk_42	C06	430	4.3	
 	Unk_43	D01	436	4.3	
 	Unk_44	D02	450	4.2	
 	Unk_45	D03	442	4.3	
 	Unk_46	D04	459	4.2	
 	Unk_47	D05	360	4.7	
 	Unk_48	D06	383	4.6	
 	Unk_49	A01	410	4.4	
 	Unk_50	A02	400	4.5	
 	Unk_51	A03	454	4.2	
 	Unk_52	A04	469	4.1	
 	Unk_53	A05	20	20.0	
 	Unk_54	A06	17	21.6	
 	Unk_55	B01	414	4.4	
 	Unk_56	B02	457	4.2	
 	Unk_57	B03	375	4.6	
 	Unk_58	B04	361	4.7	
 	Unk_59	B05	405	4.4	
 	Unk_60	B06	391	4.5	
 	Unk_61	C01	460	4.2	
 	Unk_62	C02	455	4.2	
 	Unk_63	C03	353	4.8	
 	Unk_64	C04	404	4.4	
 	Unk_65	C05	364	4.7	
 	Unk_66	C06	350	4.8	
 	Unk_67	D01	320	5.0	
 	Unk_68	D02	321	5.0	
 	Unk_69	D03	253	5.6	
 	Unk_70	D04	313	5.1	
 	Unk_71	D05	184	6.6	
 	Unk_72	D06	163	7.0	
 	Unk_73	A01	289	5.3	
 	Unk_74	A02	339	4.9	
 	Unk_75	A03	398	4.5	
 	Unk_76	A04	362	4.7	
 	Unk_77	A05	392	4.5	
 	Unk_78	A06	359	4.7	
 	Unk_79	B01	414	4.4	
 	Unk_80	B02	441	4.3	
 	Unk_81	B03	380	4.6	
 	Unk_82	B04	382	4.6	
 	Unk_83	B05	362	4.7	
 	Unk_84	B06	352	4.8	
 	Unk_85	C01	451	4.2	
 	Unk_86	C02	455	4.2	
 	Unk_87	C03	504	4.0	
 	Unk_88	C04	506	4.0	
 	Unk_89	C05	401	4.5	
 	Unk_90	C06	388	4.5	
 	Unk_91	D01	349	4.8	
 	Unk_92	D02	380	4.6	
 	Unk_93	D03	399	4.5	
 	Unk_94	D04	392	4.5	
 	Unk_95	D05	461	4.2	
 	Unk_96	D06	444	4.2	
 	Unk_97	A01	461	4.2	
 	Unk_98	A02	492	4.0	
 	Unk_99	A03	385	4.6	
 	Unk_100	A04	405	4.4	
 	Unk_101	A05	344	4.8	
 	Unk_102	A06	338	4.9	
 	Unk_103	B01	464	4.2	
 	Unk_104	B02	490	4.0	
 	Unk_105	B03	398	4.5	
 	Unk_106	B04	353	4.8	
 	Unk_107	B05	441	4.3	
 	Unk_108	B06	431	4.3	
 	Unk_109	C01	381	4.6	
 	Unk_110	C02	382	4.6	
 	Unk_111	C03	340	4.9	
 	Unk_112	C04	345	4.8	
 	Unk_113	C05	309	5.1	
 	Unk_114	C06	323	5.0	
 	Unk_115	D01	459	4.2	
 	Unk_116	D02	424	4.3	
 	Unk_117	D03	489	4.0	
 	Unk_118	D04	492	4.0	
 	Unk_119	D05	244	5.7	
 	Unk_120	D06	220	6.0	
 	Unk_121	A01	190	6.5	
 	Unk_122	A02	203	6.3	
 	Unk_123	A03	177	6.7	
 	Unk_124	A04	187	6.5	
 	Unk_125	A05	179	6.7	
 	Unk_126	A06	172	6.8	
 	Unk_127	B01	255	5.6	
 	Unk_128	B02	255	5.6	
 	Unk_129	B03	337	4.9	
 	Unk_130	B04	319	5.0	
 	Unk_131	B05	343	4.8	
 	Unk_132	B06	376	4.6	
 	Unk_133	C01	484	4.1	
 	Unk_134	C02	503	4.0	
 	Unk_135	C03	531	3.9	
 	Unk_136	C04	542	3.8	
 	Unk_137	C05	506	4.0	
 	Unk_138	C06	520	3.9	
 	Unk_139	D01	519	3.9	
 	Unk_140	D02	540	3.8	
 	Unk_141	D03	579	3.7	
 	Unk_142	D04	531	3.9	
 	Unk_143	D05	593	3.7	
 	Unk_144	D06	561	3.8	
 	Unk_145	A01	567	3.8	
 	Unk_146	A02	541	3.8	
 	Unk_147	A03	584	3.7	
 	Unk_148	A04	606	3.6	
 	Unk_149	A05	550	3.8	
 	Unk_150	A06	573	3.7	
 	Unk_151	B01	530	3.9	
 	Unk_152	B02	548	3.8	
 	Unk_153	B03	505	4.0	
 	Unk_154	B04	520	3.9	
 	Unk_155	B05	354	4.8	
 	Unk_156	B06	355	4.7	
 	Unk_157	C01	415	4.4	
 	Unk_158	C02	449	4.2	
 	Unk_159	C03	496	4.0	
 	Unk_160	C04	463	4.2	
 	Unk_161	C05	538	3.9	
 	Unk_162	C06	523	3.9	
 	Unk_163	D01	570	3.7	
 	Unk_164	D02	580	3.7	
 	Unk_165	D03	523	3.9	
 	Unk_166	D04	490	4.0	
 	Unk_167	D05	434	4.3	
 	Unk_168	D06	419	4.4	
 	Unk_169	A01	434	4.3	
 	Unk_170	A02	440	4.3	
 	Unk_171	A03	509	4.0	
 	Unk_172	A04	490	4.0	
 	Unk_173	A05	515	3.9	
 	Unk_174	A06	515	3.9	
 	Unk_175	B01	557	3.8	
 	Unk_176	B02	542	3.8	
 	Unk_177	B03	465	4.1	
 	Unk_178	B04	480	4.1	
 	Unk_179	B05	447	4.2	
 	Unk_180	B06	414	4.4	
 	Unk_181	C01	489	4.0	
 	Unk_182	C02	456	4.2	
 	Unk_183	C03	559	3.8	
 	Unk_184	C04	558	3.8	
 	Unk_185	C05	605	3.6	
 	Unk_186	C06	587	3.7	
 	Unk_187	D01	493	4.0	
 	Unk_188	D02	512	4.0	
 	Unk_189	D03	566	3.8	
 	Unk_190	D04	557	3.8	
 	Unk_191	D05	499	4.0	
 	Unk_192	D06	434	4.3	
 	Unk_193	A01	452	4.2	
 	Unk_194	A02	463	4.2	
 	Unk_195	A03	515	3.9	
 	Unk_196	A04	468	4.1	
 	Unk_197	A05	401	4.5	
 	Unk_198	A06	397	4.5	
 	Unk_199	B01	508	4.0	
 	Unk_200	B02	495	4.0	
 	Unk_201	B03	522	3.9	
 	Unk_202	B04	518	3.9	
 	Unk_203	B05	538	3.9	
 	Unk_204	B06	521	3.9	
 	Unk_205	C01	361	4.7	
 	Unk_206	C02	365	4.7	
 	Unk_207	C03	287	5.3	
 	Unk_208	C04	287	5.3	
 	Unk_209	C05	226	6.0	
 	Unk_210	C06	245	5.7	
 	Unk_211	D01	281	5.3	
 	Unk_212	D02	287	5.3	
 	Unk_213	D03	356	4.7	
 	Unk_214	D04	373	4.6	
 	Unk_215	D05	432	4.3	
 	Unk_216	D06	424	4.3	
 	Unk_217	A01	352	4.8	
 	Unk_218	A02	387	4.5	
 	Unk_219	A03	359	4.7	
 	Unk_220	A04	377	4.6	
 	Unk_221	A05	338	4.9	
 	Unk_222	A06	332	4.9	
 	Unk_223	B01	368	4.7	
 	Unk_224	B02	372	4.6	
 	Unk_225	B03	431	4.3	
 	Unk_226	B04	382	4.6	
 	Unk_227	B05	443	4.2	
 	Unk_228	B06	441	4.3	
 	Unk_229	C01	472	4.1	
 	Unk_230	C02	519	3.9	
 	Unk_231	C03	422	4.4	
 	Unk_232	C04	412	4.4	
 	Unk_233	C05	15	23.2	
 	Unk_234	C06	441	4.3	
 	Unk_235	D01	418	4.4	
 	Unk_236	D02	436	4.3	
 	Unk_237	D03	482	4.1	
 	Unk_238	D04	522	3.9	
 	Unk_239	D05	372	4.6	
 	Unk_240	D06	356	4.7	
 	Unk_241	A01	466	4.1	
 	Unk_242	A02	439	4.3	
 	Unk_243	A03	439	4.3	
 	Unk_244	A04	431	4.3	
 	Unk_245	A05	411	4.4	
 	Unk_246	A06	399	4.5	
 	Unk_247	B01	360	4.7	
 	Unk_248	B02	375	4.6	
 	Unk_249	B03	447	4.2	
 	Unk_250	B04	423	4.4	
 	Unk_251	B05	494	4.0	
 	Unk_252	B06	465	4.1	
 	Unk_253	C01	436	4.3	
 	Unk_254	C02	477	4.1	
 	Unk_255	C03	347	4.8	
 	Unk_256	C04	396	4.5	
 	Unk_257	C05	365	4.7	
 	Unk_258	C06	388	4.5	
 	Unk_259	D01	423	4.3	
 	Unk_260	D02	415	4.4	
 	Unk_261	D03	472	4.1	
 	Unk_262	D04	537	3.9	
 	Unk_263	D05	492	4.0	
 	Unk_264	D06	522	3.9	
 	Unk_265	A01	388	4.5	
 	Unk_266	A02	372	4.6	
 	Unk_267	A03	336	4.9	
 	Unk_268	A04	331	4.9	
 	Unk_269	A05	403	4.5	
 	Unk_270	A06	365	4.7	
 	Unk_271	B01	452	4.2	
 	Unk_272	B02	477	4.1	
 	Unk_273	B03	473	4.1	
 	Unk_274	B04	513	3.9	
 	Unk_275	B05	500	4.0	
 	Unk_276	B06	452	4.2	
 	Unk_277	C01	493	4.0	
 	Unk_278	C02	501	4.0	
 	Unk_279	C03	391	4.5	
 	Unk_280	C04	406	4.4	
 	Unk_281	C05	438	4.3	
 	Unk_282	C06	423	4.4	
 	Unk_283	D01	338	4.9	
 	Unk_284	D02	324	5.0	
 	Unk_285	D03	331	4.9	
 	Unk_286	D04	354	4.8	
 	Unk_287	D05	268	5.5	
 	Unk_288	D06	241	5.8	
 	Unk_289	A01	239	5.8	
 	Unk_290	A02	266	5.5	
 	Unk_291	A03	264	5.5	
 	Unk_292	A04	288	5.3	
 	Unk_293	A05	347	4.8	
 	Unk_294	A06	324	5.0	
 	Unk_295	B01	409	4.4	
 	Unk_296	B02	399	4.5	
 	Unk_297	B03	268	5.5	
 	Unk_298	B04	305	5.1	
 	Unk_299	B05	335	4.9	
 	Unk_300	B06	339	4.9	
 	Unk_301	C01	423	4.3	
 	Unk_302	C02	381	4.6	
