C:\mbw\results\A16_283.txt
RUN INFORMATION:
================
Counting protocol no: 16                                  Tue 12-Mar-2019 22:49
Name: COPY_OF_H-3_KORTYZOL_5_MIN
CPM normalization protocol no:  2


*** DETECTORS NOT NORMALIZED


COLUMNS:
========
 	SAMPLE	POS	CCPM1	CCPM1%	
 	Unk_1	A01	1909	2.0	
 	Unk_2	A02	1953	2.0	
 	Unk_3	A03	59	11.6	
 	Unk_4	A04	56	12.0	
 	Unk_5	A05	54	12.1	
 	Unk_6	A06	618	3.6	
 	Unk_7	B01	617	3.6	
 	Unk_8	B02	595	3.7	
 	Unk_9	B03	522	3.9	
 	Unk_10	B04	532	3.9	
 	Unk_11	B05	469	4.1	
 	Unk_12	B06	460	4.2	
 	Unk_13	C01	427	4.3	
 	Unk_14	C02	418	4.4	
 	Unk_15	C03	335	4.9	
 	Unk_16	C04	308	5.1	
 	Unk_17	C05	229	5.9	
 	Unk_18	C06	219	6.0	
 	Unk_19	D01	145	7.4	
 	Unk_20	D02	155	7.2	
 	Unk_21	D03	115	8.3	
 	Unk_22	D04	106	8.7	
 	Unk_23	D05	248	5.7	
 	Unk_24	D06	257	5.6	
 	Unk_25	A01	483	4.1	
 	Unk_26	A02	478	4.1	
 	Unk_27	A03	304	5.1	
 	Unk_28	A04	256	5.6	
 	Unk_29	A05	325	5.0	
 	Unk_30	A06	312	5.1	
 	Unk_31	B01	202	6.3	
 	Unk_32	B02	213	6.1	
 	Unk_33	B03	198	6.4	
 	Unk_34	B04	202	6.3	
 	Unk_35	B05	236	5.8	
 	Unk_36	B06	249	5.7	
 	Unk_37	C01	340	4.9	
 	Unk_38	C02	314	5.0	
 	Unk_39	C03	391	4.5	
 	Unk_40	C04	361	4.7	
 	Unk_41	C05	373	4.6	
 	Unk_42	C06	361	4.7	
 	Unk_43	D01	288	5.3	
 	Unk_44	D02	292	5.2	
 	Unk_45	D03	296	5.2	
 	Unk_46	D04	278	5.4	
 	Unk_47	D05	290	5.3	
 	Unk_48	D06	295	5.2	
 	Unk_49	A01	289	5.3	
 	Unk_50	A02	328	4.9	
 	Unk_51	A03	283	5.3	
 	Unk_52	A04	262	5.5	
 	Unk_53	A05	320	5.0	
 	Unk_54	A06	297	5.2	
 	Unk_55	B01	280	5.3	
 	Unk_56	B02	283	5.3	
 	Unk_57	B03	234	5.8	
 	Unk_58	B04	248	5.7	
 	Unk_59	B05	273	5.4	
 	Unk_60	B06	277	5.4	
 	Unk_61	C01	294	5.2	
 	Unk_62	C02	311	5.1	
 	Unk_63	C03	129	7.9	
 	Unk_64	C04	254	5.6	
 	Unk_65	C05	359	4.7	
 	Unk_66	C06	367	4.7	
 	Unk_67	D01	367	4.7	
 	Unk_68	D02	408	4.4	
 	Unk_69	D03	428	4.3	
 	Unk_70	D04	465	4.1	
 	Unk_71	D05	288	5.3	
 	Unk_72	D06	241	5.8	
 	Unk_73	A01	316	5.0	
 	Unk_74	A02	328	4.9	
 	Unk_75	A03	257	5.6	
 	Unk_76	A04	234	5.8	
 	Unk_77	A05	195	6.4	
 	Unk_78	A06	189	6.5	
 	Unk_79	B01	166	7.0	
 	Unk_80	B02	190	6.5	
 	Unk_81	B03	163	7.0	
 	Unk_82	B04	200	6.3	
 	Unk_83	B05	130	7.9	
 	Unk_84	B06	163	7.0	
 	Unk_85	C01	157	7.1	
 	Unk_86	C02	140	7.5	
 	Unk_87	C03	139	7.6	
 	Unk_88	C04	139	7.6	
 	Unk_89	C05	141	7.5	
 	Unk_90	C06	175	6.8	
 	Unk_91	D01	149	7.3	
 	Unk_92	D02	150	7.3	
 	Unk_93	D03	201	6.3	
 	Unk_94	D04	208	6.2	
 	Unk_95	D05	204	6.3	
 	Unk_96	D06	241	5.8	
 	Unk_97	A01	170	6.9	
 	Unk_98	A02	173	6.8	
 	Unk_99	A03	163	7.0	
 	Unk_100	A04	155	7.2	
 	Unk_101	A05	222	6.0	
 	Unk_102	A06	215	6.1	
 	Unk_103	B01	262	5.5	
 	Unk_104	B02	256	5.6	
 	Unk_105	B03	217	6.1	
 	Unk_106	B04	221	6.0	
 	Unk_107	B05	230	5.9	
 	Unk_108	B06	227	5.9	
 	Unk_109	C01	259	5.6	
 	Unk_110	C02	272	5.4	
 	Unk_111	C03	274	5.4	
 	Unk_112	C04	264	5.5	
 	Unk_113	C05	296	5.2	
 	Unk_114	C06	308	5.1	
 	Unk_115	D01	291	5.2	
 	Unk_116	D02	341	4.8	
 	Unk_117	D03	336	4.9	
 	Unk_118	D04	325	5.0	
 	Unk_119	D05	256	5.6	
 	Unk_120	D06	244	5.7
 	Unk_143	D05	248	5.7	
 	Unk_144	D06	243	5.7	

PLATES:
=======
Plate 1
Cassette information:
Assay:-/Prot:16/Cass:16/Func:-/Cassette no:   1/Shelf: 1/4*6


CCPM1

 	1	2	3	4	5	6	
A	1909	1953	59	56	54	618	
B	617	595	522	532	469	460	
C	427	418	335	308	229	219	
D	145	155	115	106	248	257	

End of plate 1
Plate 2
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   2/Shelf: 2/4*6


CCPM1

 	1	2	3	4	5	6	
A	483	478	304	256	325	312	
B	202	213	198	202	236	249	
C	340	314	391	361	373	361	
D	288	292	296	278	290	295	

End of plate 2
Plate 3
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   3/Shelf: 3/4*6


CCPM1

 	1	2	3	4	5	6	
A	289	328	283	262	320	297	
B	280	283	234	248	273	277	
C	294	311	129	254	359	367	
D	367	408	428	465	288	241	

End of plate 3
Plate 4
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   4/Shelf: 4/4*6


CCPM1

 	1	2	3	4	5	6	
A	316	328	257	234	195	189	
B	166	190	163	200	130	163	
C	157	140	139	139	141	175	
D	149	150	201	208	204	241	

End of plate 4
Plate 5
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   5/Shelf: 5/4*6


CCPM1

 	1	2	3	4	5	6	
A	170	173	163	155	222	215	
B	262	256	217	221	230	227	
C	259	272	274	264	296	308	
D	291	341	336	325	256	244	

End of plate 5
Plate 6
Cassette information:
Assay:-/Prot:-/Cass:-/Func:STOP/Cassette no:   6/Shelf: 6/4*6


CCPM1

 	1	2	3	4	5	6	
